200 227
0 1 0.122325651347
0 2 0.287300435864
0 3 0.505598653854
0 4 0.320723536339
0 5 0.410922194408
0 6 0.111419488788
0 7 0.0595238095238
0 8 0.211442418233
0 9 0.550514659741
0 10 0.0595238095238
0 11 0.22598332607
0 12 0.615191633173
0 13 0.0869385099493
0 14 0.154180195918
0 15 0.0595238095238
0 16 0.0887231816986
0 17 0.433552313074
0 18 0.248904010899
0 19 0.0595238095238
0 20 0.314815861976
0 21 7.14285714286e-06
0 22 7.14285714286e-06
0 23 7.14285714286e-06
0 24 7.14285714286e-06
0 25 7.14285714286e-06
0 26 7.14285714286e-06
0 27 7.14285714286e-06
0 28 7.14285714286e-06
0 29 7.14285714286e-06
0 30 7.14285714286e-06
0 31 7.14285714286e-06
0 32 7.14285714286e-06
0 33 7.14285714286e-06
0 34 7.14285714286e-06
0 35 7.14285714286e-06
0 36 7.14285714286e-06
0 37 7.14285714286e-06
0 38 7.14285714286e-06
0 39 7.14285714286e-06
0 40 7.14285714286e-06
0 41 7.14285714286e-06
0 42 7.14285714286e-06
0 43 7.14285714286e-06
0 44 7.14285714286e-06
0 45 7.14285714286e-06
0 46 7.14285714286e-06
0 47 7.14285714286e-06
0 48 7.14285714286e-06
0 49 7.14285714286e-06
0 50 7.14285714286e-06
0 51 7.14285714286e-06
0 52 7.14285714286e-06
0 53 7.14285714286e-06
0 54 7.14285714286e-06
0 55 7.14285714286e-06
0 56 7.14285714286e-06
0 57 7.14285714286e-06
0 58 7.14285714286e-06
0 59 7.14285714286e-06
0 60 7.14285714286e-06
0 61 7.14285714286e-06
0 62 7.14285714286e-06
0 63 7.14285714286e-06
0 64 7.14285714286e-06
0 65 7.14285714286e-06
0 66 7.14285714286e-06
0 67 7.14285714286e-06
0 68 7.14285714286e-06
0 69 7.14285714286e-06
0 70 7.14285714286e-06
0 71 7.14285714286e-06
0 72 7.14285714286e-06
0 73 7.14285714286e-06
0 74 7.14285714286e-06
0 75 7.14285714286e-06
0 76 7.14285714286e-06
0 77 7.14285714286e-06
0 78 7.14285714286e-06
0 79 7.14285714286e-06
0 80 7.14285714286e-06
0 81 7.14285714286e-06
0 82 7.14285714286e-06
0 83 7.14285714286e-06
0 84 7.14285714286e-06
0 85 7.14285714286e-06
0 86 7.14285714286e-06
0 87 7.14285714286e-06
0 88 7.14285714286e-06
0 89 7.14285714286e-06
0 90 7.14285714286e-06
0 91 7.14285714286e-06
0 92 7.14285714286e-06
0 93 7.14285714286e-06
0 94 7.14285714286e-06
0 95 7.14285714286e-06
0 96 7.14285714286e-06
0 97 7.14285714286e-06
0 98 7.14285714286e-06
0 99 7.14285714286e-06
0 100 7.14285714286e-06
0 101 7.14285714286e-06
0 102 7.14285714286e-06
0 103 7.14285714286e-06
0 104 7.14285714286e-06
0 105 7.14285714286e-06
